Sembol,Analiz_Tarihi_str,Fiyat (Son),Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
CVKMD,2025-09-29,15.42,5.396006156368955,8.149573790221542,combo_0
DESPC,2025-09-29,68.2,5.396006156368955,8.149573790221542,combo_0
DMSAS,2025-09-29,8.5,5.396006156368955,8.149573790221542,combo_0
ECILC,2025-09-29,83.55,5.396006156368955,8.149573790221542,combo_0
ECZYT,2025-09-29,277.0,5.396006156368955,8.149573790221542,combo_0
IZENR,2025-09-29,9.74,5.396006156368955,8.149573790221542,combo_0
KOZAA,2025-09-29,88.9,5.396006156368955,8.149573790221542,combo_0
KRTEK,2025-09-29,33.78,5.396006156368955,8.149573790221542,combo_0
LIDER,2025-09-29,319.5,5.396006156368955,8.149573790221542,combo_0
OFSYM,2025-09-29,65.1,5.396006156368955,8.149573790221542,combo_0
OYLUM,2025-09-29,10.73,5.396006156368955,8.149573790221542,combo_0
POLHO,2025-09-29,21.04,5.396006156368955,8.149573790221542,combo_0
RALYH,2025-09-29,156.9,5.396006156368955,8.149573790221542,combo_0
RUZYE,2025-09-29,12.93,5.396006156368955,8.149573790221542,combo_0
SARKY,2025-09-29,14.99,5.396006156368955,8.149573790221542,combo_0
SELVA,2025-09-29,3.69,5.396006156368955,8.149573790221542,combo_0
SEYKM,2025-09-29,7.15,5.396006156368955,8.149573790221542,combo_0
TATEN,2025-09-29,69.25,5.396006156368955,8.149573790221542,combo_0
YGGYO,2025-09-29,130.1,5.396006156368955,8.149573790221542,combo_0
CVKMD,2025-10-01,16.14,5.396006156368955,8.149573790221542,combo_0
