Sembol;23.11.2025; Bugün;Yüksek Hafta;Fark Kapanis 2 gün;Fark en yüksek 2 gün
HDFGS;3,28;3,31;3,86;1%;18%
BURCE;38,18;35,8;38,18;-6%;0%
TEKTU;11;12,7;13,12;15%;19%
METRO;4,92;4,9;5,12;0%;4%
GMTAS;44,94;45;46,24;0%;3%
FONET;2,84;2,83;2,9;0%;2%
BVSAN;102,8;102;110,9;-1%;8%
PINSU;12,42;12,21;12,6;-2%;1%
ARTMS;41,9;42,56;45,18;2%;8%
KLRHO;154;161;172,9;5%;12%
SAFKR;26,8;25,72;26,9;-4%;0%
CEMZY;38,1;46,08;46,08;21%;21%
TMPOL;302,5;314;332,25;4%;10%
INFO;3,81;3,88;4,32;2%;13%
CVKMD;16,52;16,98;17,45;3%;6%
ECILC;105,1;93,9;108;-11%;3%
MERCN;17,5;17,19;19,25;-2%;10%
OZRDN;10,99;12,76;12,76;16%;16%
BLCYT;31,2;32,98;33,1;6%;6%
CWENE;26,08;25,84;27,14;-1%;4%
HDFGS;3,28;3,31;3,86;1%;18%
BURCE;38,18;35,8;38,18;-6%;0%
SKYLP;269,5;248;270;-8%;0%
BMSTL;122,9;99,65;131,2;-19%;7%
CEMZY;38,1;46,08;46,08;21%;21%
MANAS;9,31;9,32;10,2;0%;10%
TDGYO;30,68;31,98;32,68;4%;7%
LYDHO;181,5;186;194,9;2%;7%
ARTMS;41,9;42,56;45,18;2%;8%
ODINE;230;232,6;243,1;1%;6%
TMPOL;302,5;314;332,25;4%;10%
DOBUR;303;322;333,25;6%;10%
METRO;4,92;4,9;5,12;0%;4%
BULGS;46,46;48,02;51,3;3%;10%
MAGEN;31,8;32,6;33,8;3%;6%
SEGYO;6,35;6,03;6,43;-5%;1%
ALGYO;29,98;31,38;32,38;5%;8%
DITAS;38,5;38,96;39,48;1%;3%
GMTAS;44,94;45;46,24;0%;3%
KLRHO;154;161;172,9;5%;12%
