Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx
ACSEL,2025-11-28,97.45,-50,0,4,0,103.15,104.31,-3.45,-2.88,0,26.93,12.54,-165822.00,94.84,105.71,116.58,20.57,0,0.78,29.23,0,100,1,0,1,0,ImpulseDown,2,Başlangıç,2025-08-11 00:00,107.50,ImpulseDown,5,Düşüş Başlangıcı,2025-11-24 04:00,103.7,down,2025-11-28 00:00,down,2025-11-28 12:00,-,0,SAT,-50,2025-11-26 10:30,83,-,0,SAT,-50,2025-11-06 12:30,145,-,0,SAT,-50,2025-09-29 04:00,130,-,0,SAT,-50,2025-11-11 00:00,13,0,0,1,0,0,92.09,102.81,-4.46,-15.48,17431906,0,1.94,"ATR Oranı düşük (3.66%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 92.09, TP: 102.81 | 1H:%-4.46 | 1A:%-15.48 | Confirmed SELL (alphaTrend teyidi)",2,5.50,0,0,1,0,0,-0.78,-29.23,-165822.00,0,6.20
ADEL,2025-11-28,32.00,0,0,0,0,32.00,32.15,0.62,0.37,1,50.24,33.57,-1033652.00,28.40,32.00,35.59,22.50,0,24.00,22.25,0,100,1,0,0,0,ImpulseUp,2,Orta,2025-10-10 00:00,32.84,ImpulseUp,2,Orta,2025-11-10 08:00,33.16,up,2025-11-28 00:00,up,2025-11-28 12:00,-,0,SAT,-50,2025-11-26 08:15,92,-,0,AL,50,2025-11-20 07:30,61,-,0,AL,50,2025-11-20 12:00,18,-,0,AL,50,2025-11-21 00:00,5,0,0,0,0,0,29.32,34.68,-13.61,0.82,89831017,0,5.78,"ATR Oranı düşük (5.59%) | Gelişmiş Cup & Handle | ATR STOP: 29.32, TP: 34.68 | 1H:%-13.61 | 1A:%0.82",3,8.38,0,0,1,0,0,-24.00,-22.25,-1033652.00,0,-13.08
ADGYO,2025-11-28,46.10,-100,0,3,0,48.68,47.72,-0.54,-0.69,1,43.87,16.56,-532496.00,43.83,48.06,52.28,17.58,0,72.53,22.19,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-11-26 00:00,51.75,None,-,Orta,,,down,2025-11-28 00:00,,,-,0,SAT,-50,2025-11-27 07:45,61,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,42.26,49.94,-2.50,-10.22,44902838,20.219297,1.50,"ATR Oranı düşük (5.55%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 42.26, TP: 49.94 | 1H:%-2.5 | 1A:%-10.22",3,8.33,0,0,1,0,0,-72.53,-22.19,-532496.00,0,-60.92
AFYON,2025-11-28,13.02,-100,0,3,0,13.00,13.02,-0.00,0.00,0,49.93,9.12,-2780967.00,12.80,13.08,13.35,4.20,0,10.90,19.63,0,0,0,0,0,0,ImpulseDown,5,Orta,2025-11-04 00:00,13.52,ImpulseDown,5,Orta,2025-11-27 12:00,13.12,down,2025-11-28 00:00,down,2025-11-28 12:00,-,0,AL,50,2025-11-28 13:15,6,-,0,AL,50,2025-11-27 13:30,10,-,0,AL,50,2025-11-27 08:00,4,-,0,SAT,-50,2025-09-26 00:00,45,0,0,0,0,0,12.67,13.37,0.15,0.31,42428136,18.33803,0.73,"ATR Oranı düşük (1.81%) | ATR STOP: 12.67, TP: 13.37 | 1H:%0.15 | 1A:%0.31",1,2.69,0,0,0,0,0,-10.90,-19.63,-2780967.00,0,-8.63
AGROT,2025-11-28,7.07,-50,0,4,0,7.39,7.39,-0.06,-0.00,0,41.63,16.65,-10658965.00,6.68,7.42,8.16,19.91,0,5.52,50.73,0,100,0,0,1,0,ImpulseDown,4,Yükseliş Başlangıcı,2025-11-14 00:00,6.83,None,-,Orta,,,down,2025-11-28 00:00,,,-,0,SAT,-50,2025-11-21 08:00,192,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-25 00:00,3,0,0,0,0,0,6.53,7.61,-4.46,-6.23,159039714,0,0.48,"ATR Oranı düşük (5.13%) | Gelişmiş TOBO formasyonu | ATR STOP: 6.53, TP: 7.61 | 1H:%-4.46 | 1A:%-6.23",2,7.64,0,0,1,0,0,-5.52,-50.73,-10658965.00,0,-6.51
AHGAZ,2025-11-28,25.66,-50,0,4,0,27.14,26.99,-0.39,-0.38,0,40.58,17.41,-2838860.00,25.34,27.19,29.04,13.59,0,52.01,29.51,0,100,1,0,0,0,ImpulseUp,2,Başlangıç,2025-09-05 00:00,36.48,ImpulseUp,4,Başlangıç,2025-11-24 12:00,27.94,up,2025-11-28 00:00,up,2025-11-28 12:00,-,0,SAT,-50,2025-11-26 13:00,73,-,0,SAT,-50,2025-11-26 14:30,18,-,0,SAT,-50,2025-09-23 12:00,140,-,0,SAT,-50,2025-11-06 00:00,16,0,0,0,0,0,23.77,27.55,-5.10,-9.46,124832684,29.494253,1.48,"ATR Oranı düşük (4.91%) | Gelişmiş Cup & Handle | ATR STOP: 23.77, TP: 27.55 | 1H:%-5.1 | 1A:%-9.46",2,7.37,0,0,1,0,0,-52.01,-29.51,-2838860.00,0,-47.74
AHSGY,2025-11-28,53.50,0,0,0,0,52.78,52.63,1.84,2.34,0,56.12,30.49,-880964.00,50.72,54.26,57.80,13.06,1,186.10,8.94,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-11-27 00:00,51.00,ImpulseDown,3,Orta,2025-11-24 04:00,55.55,up,2025-11-28 00:00,down,2025-11-28 12:00,-,0,SAT,-50,2025-11-27 13:45,37,-,0,SAT,-50,2025-11-28 08:30,6,-,0,AL,50,2025-07-16 04:00,289,-,0,AL,50,2025-07-21 00:00,94,0,0,0,0,0,47.70,59.30,1.23,19.10,70735105,49.999996,1.50,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.23%) | Gelişmiş Cup & Handle | ATR STOP: 47.7, TP: 59.3 | 1H:%1.23 | 1A:%19.1",4,10.84,0,0,1,0,0,-186.10,-8.94,-880964.00,0,-168.37
AKBNK,2025-11-28,64.75,100,3,0,0,61.88,61.43,1.08,0.42,1,68.17,24.03,98579659.00,57.11,61.07,65.02,12.94,0,33.51,11.86,0,0,0,0,0,0,ImpulseDown,3,Başlangıç,2025-10-24 00:00,63.95,ImpulseUp,3,Başlangıç,2025-11-14 12:00,57.8,down,2025-11-28 00:00,up,2025-11-28 12:00,-,0,AL,50,2025-11-18 11:15,278,-,0,AL,50,2025-11-19 09:30,68,-,0,AL,50,2025-11-20 04:00,20,-,0,AL,50,2025-11-25 00:00,3,0,1,0,0,0,62.16,67.34,2.94,8.82,6758087702,6.99244,1.21,"ATR Oranı düşük (2.67%) | ATR STOP: 62.16, TP: 67.34 | 1H:%2.94 | 1A:%8.82 | Confirmed BUY (alphaTrend teyidi)",4,4.00,1,0,0,0,0,-33.51,-11.86,98579659.00,0,-11.93
AKENR,2025-11-28,11.37,100,3,0,0,11.36,11.30,0.35,0.31,1,52.00,36.43,10545408.00,9.41,11.20,12.99,31.91,0,28.47,20.93,0,100,1,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-15 00:00,11.38,ImpulseUp,2,Orta,2025-11-05 04:00,12.24,up,2025-11-28 00:00,up,2025-11-28 12:00,-,0,SAT,-50,2025-11-26 08:00,93,AL,50,AL,50,2025-11-28 14:30,0,-,0,AL,50,2025-11-18 04:00,26,-,0,AL,50,2025-11-21 00:00,5,0,0,0,0,0,10.21,12.53,-15.84,10.39,346641172,0,0.51,"ATR Oranı düşük (6.77%) | Gelişmiş Cup & Handle | ATR STOP: 10.21, TP: 12.53 | 1H:%-15.84 | 1A:%10.39",5,10.20,1,0,1,0,0,-28.47,-20.93,10545408.00,0,-5.20
AKFGY,2025-11-28,2.68,-50,0,4,0,2.67,2.69,0.02,0.02,0,49.79,13.91,-23428632.00,2.63,2.72,2.82,6.94,1,53.14,12.42,0,0,1,0,0,0,ImpulseDown,4,Orta,2025-10-17 00:00,2.40,ImpulseDown,2,Orta,2025-11-21 08:00,2.65,down,2025-11-28 00:00,down,2025-11-28 12:00,-,0,SAT,-50,2025-11-27 11:15,47,-,0,SAT,-50,2025-11-28 07:30,7,-,0,AL,50,2025-11-03 04:00,59,-,0,AL,50,2025-10-30 00:00,21,0,0,0,0,0,2.55,2.81,-2.55,5.10,90018844,9.925926,0.35,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.13%) | Gelişmiş Cup & Handle | ATR STOP: 2.55, TP: 2.81 | 1H:%-2.55 | 1A:%5.1",1,4.85,0,0,1,0,0,-53.14,-12.42,-23428632.00,0,-50.99
